Document Name,Document Path,Question
RIS User Documentation.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/RIS User Documentation.md,I'm not comfortable with the command line; how can I use the RIS Scientific Compute Platforms through a graphical interface?
RIS User Documentation.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/RIS User Documentation.md,"What tools can I use to transfer data to the RIS Data Storage Platforms, for example from Google Storage?"
RIS User Documentation.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/RIS User Documentation.md,"Where can I find lists of available software, such as RIS-developed Docker containers or other installed applications, to use on the compute platform?"
Applications.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications.md,What are the two main categories of applications provided by RIS for the Compute1 platform?
Applications.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications.md,What is the current status of applications available for the Compute2 platform?
Applications.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications.md,Where can I find information on using Docker images that were not developed by RIS?
SSH Private-Public Key Pair.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/SSH Private-Public Key Pair.md,"What is the command to generate the `id_rsa_compute` private key and `id_rsa_compute.pub` public key files on a Linux, Unix, or MacOS system?"
SSH Private-Public Key Pair.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/SSH Private-Public Key Pair.md,"After generating an SSH key with a passphrase, what are the `ssh-agent` commands to avoid entering the passphrase for each connection?"
SSH Private-Public Key Pair.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/SSH Private-Public Key Pair.md,How do I copy my `id_rsa_compute.pub` public key to the remote compute client at `compute1-client-1.ris.wustl.edu`?
FAQ.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/FAQ.md,"My $HOME directory on the RIS Compute Platform is limited to 10GB; why is this limit in place, is it backed up, and can I request an increase?"
FAQ.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/FAQ.md,"What are the differences between the `general` and `general-interactive` queues on the Compute1 platform regarding job run time limits, interactivity, and use of the cache system?"
FAQ.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/FAQ.md,What is the two-step process for providing an external collaborator from outside WashU with access to my RIS storage or compute allocations?
RIS Services Policies.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/RIS Services Policies.md,"As a new user of the Compute1 platform, what specific technologies must I agree to learn, and what are my responsibilities regarding my workloads and third-party software?"
RIS Services Policies.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/RIS Services Policies.md,"When should I use the 'general' queue versus the 'general-interactive' queue on Compute1, and what are the key limitations of each, such as job run time and intended use?"
RIS Services Policies.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/RIS Services Policies.md,"What are the differences between the `$HOME` and `/scratch` storage areas on Compute1 regarding size limits, backup policies, and automatic data deletion?"
Requesting RIS Services.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Requesting RIS Services.md,What is the difference between the `Consumption` and `Subscription` billing options for the RIS Data Storage Platform?
Requesting RIS Services.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Requesting RIS Services.md,How do I initiate a request to activate a new RIS Data Storage Platform service?
Requesting RIS Services.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Requesting RIS Services.md,"What are the differences between the `General`, `Subscription`, and `Consumption` billing models for the RIS Scientific Compute Platform?"
Compute Workshops.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute Workshops.md,What is the current availability of RIS compute workshops?
Compute Workshops.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute Workshops.md,"Has RIS ever hosted a compute workshop in partnership with Nvidia, and if so, when was it held?"
Compute Workshops.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute Workshops.md,"Where can I find information on past sessions, such as the RIS Compute Seminars from April 2020 and Fall 2021?"
Docker.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Docker.md,"How do I build, tag, and push a custom Docker image?"
Docker.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Docker.md,What is the process for installing Python packages inside a Docker container?
Docker.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Docker.md,How can I use Docker images on the RIS Compute1 Platform?
Compute1.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1.md,"What types of pre-configured applications and containers, such as THPC Installed Applications or RIS Developed Containers, are available on the Compute1 platform?"
Compute1.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1.md,"How do I build, tag, and push a custom Docker image for use on the RIS Compute1 Platform?"
Compute1.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute1.md,Where can I find examples of job execution scripts for the LSF scheduler and details on the available Compute1 Condo and Subscription Queues?
Storage Platforms.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Storage Platforms.md,"Why does the `df` command show misleading information on the Compute Service, and what is the correct way to check my available storage space?"
Storage Platforms.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Storage Platforms.md,"For how long is my data kept on tape backups after it has been deleted from the ""Active"" and ""Archive"" storage tiers?"
Storage Platforms.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Storage Platforms.md,How can I set up a project directory with specific read-write and read-only access for different collaborators?
Compute2.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute2.md,"If I am used to the LSF scheduler, where can I find a guide to help me transition to using slurm on the Compute2 platform?"
Compute2.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute2.md,Where can I find a list of the applications developed by RIS specifically for use on the Compute2 platform?
Compute2.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute2.md,Where can I find detailed information and options for running interactive jobs using the srun command on Compute2?
Research Applications and Services.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Research Applications and Services.md,What are the identity and network access requirements for using the research applications supported by Wash U IT RIS?
